CustomerID,FullName,EmailAddress,Age,PhoneNumber,Address,Married,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster
51,Kristin Salazar,wdominguez@example.net,27,(692)705-7143x3930,"PSC 6608, Box 8565
APO AA 30270",Yes,1.0,5.0,1980.08,4.0,3.0,2.0,432.0,0
52,Sherry Bennett,jenniferconrad@example.org,28,912-544-7726x017,"73755 Ryan Harbor
Gonzalezport, OR 75724",No,5.0,5.0,2590.62,4.0,3.0,2.0,432.0,0
53,Kim Stewart,sandradavis@example.com,39,865.442.7851x5071,"3787 Kathleen Throughway Suite 569
Simsbury, MO 45467",Yes,17.0,2.0,2668.21,2.0,1.0,2.0,212.0,2
54,Wendy Novak,ucastro@example.com,24,234.625.4522x8889,"10052 Bernard Via Suite 235
Patriciashire, NM 83622",No,6.0,10.0,6901.33,4.0,4.0,4.0,444.0,3
55,Scott Hansen,tina67@example.com,28,001-502-503-2495,"309 Christina Viaduct Suite 428
Davidberg, MS 19024",Yes,2.0,3.0,3261.2300000000005,4.0,1.0,3.0,413.0,2
56,Bryan Page,lauracarroll@example.net,46,644-987-7192,"0039 Jackson Springs Suite 973
Teresaborough, CO 21376",Yes,10.0,5.0,2098.49,3.0,3.0,2.0,332.0,0
57,James Collins,jennifer02@example.com,30,001-828-233-8369x158,"1779 Ronnie Landing Suite 272
Ryanmouth, CT 55897",Yes,13.0,1.0,212.43,3.0,1.0,1.0,311.0,2
58,Vickie Vargas,marcia86@example.com,35,(992)882-0174x54061,"823 Li Loaf Suite 487
Williamstown, PA 38314",No,4.0,3.0,2092.96,4.0,1.0,2.0,412.0,2
59,Richard Johnson,sergiojohnson@example.net,35,665-977-9787x7781,"1640 Rodriguez River
Jennifertown, WI 31110",Yes,4.0,5.0,5391.42,4.0,3.0,3.0,433.0,0
60,Justin Hunt,smithjessica@example.org,26,+1-490-985-4141x258,"Unit 8798 Box 5173
DPO AA 92704",No,8.0,6.0,1628.2599999999998,3.0,4.0,2.0,342.0,0
61,Heather Rodriguez,johnsonthomas@example.com,38,001-325-453-8398x021,"7189 Aaron Island Suite 019
Michaelland, TX 23831",Yes,7.0,4.0,5826.37,3.0,2.0,3.0,323.0,1
62,Teresa Peters,evanjackson@example.com,28,839.785.6743x003,"7961 Alexandra Loaf
Raymondland, MN 47631",Yes,7.0,3.0,4824.990000000001,3.0,1.0,3.0,313.0,2
63,Robert Moore,kerri48@example.net,18,9817192768,"75969 Smith Greens
New Nancyberg, FL 81780",Yes,2.0,5.0,5384.46,4.0,3.0,3.0,433.0,0
64,Deanna Wallace,scottjohn@example.com,40,840.445.7288x99878,"7332 Joy Ridge
Barryhaven, CT 44476",No,3.0,3.0,294.53,4.0,1.0,1.0,411.0,2
65,Susan Lopez,jason78@example.com,40,9015711078,"Unit 1978 Box 7039
DPO AE 18648",No,9.0,4.0,4290.81,3.0,2.0,3.0,323.0,0
66,Carrie Carrillo,dylanlee@example.com,18,6974870493,"2766 Jeffrey Highway Apt. 984
East Billyburgh, MA 17096",Yes,10.0,6.0,3648.7,3.0,4.0,3.0,343.0,0
67,Tammy Valencia,laura37@example.org,38,616.767.9794x273,"7158 Campbell Overpass Apt. 733
Patrickshire, SC 30459",Yes,6.0,3.0,2379.23,4.0,1.0,2.0,412.0,2
68,Julia Rodriguez,joseph09@example.com,47,8037265168,"8435 Katherine Plain
Nicholasfort, FL 44482",No,2.0,10.0,10902.36,4.0,4.0,4.0,444.0,3
69,Pamela Vega,colleen72@example.com,32,524.881.6156,"042 Justin Crossroad
Kelleybury, LA 44766",Yes,1.0,4.0,480.47,4.0,2.0,1.0,421.0,0
70,Melanie Elliott,psoto@example.net,38,956.522.8252,"Unit 3240 Box 2279
DPO AA 83478",Yes,8.0,4.0,2781.27,3.0,2.0,2.0,322.0,0
71,Melissa Gomez,steelecandice@example.com,30,3115518205,"578 Mathews Dale
Michaelburgh, TX 63067",No,9.0,4.0,6999.66,3.0,2.0,4.0,324.0,1
72,Amber Little,wrightdustin@example.com,20,365.510.7182x198,"27750 Mark Crossing Apt. 298
Skinnerhaven, SC 18723",No,20.0,1.0,44.58,2.0,1.0,1.0,211.0,2
73,Kelly Day,gunderwood@example.com,45,+1-238-573-1793x63677,"5485 Matthew Gardens
Michellefurt, MD 46693",Yes,9.0,4.0,9215.79,3.0,2.0,4.0,324.0,1
74,Jocelyn Walker,whitemichael@example.net,52,386-857-3452x6796,"USCGC Welch
FPO AE 49168",No,7.0,4.0,2833.59,3.0,2.0,2.0,322.0,0
75,Mark Anderson,osmith@example.net,48,563.356.1253x076,"70015 Eric Passage
New Brandonville, OH 53643",No,5.0,2.0,4348.95,4.0,1.0,3.0,413.0,2
76,Nicole Newton,aguilarjoshua@example.net,26,514-909-1106,"19991 Matthew Fords
Loganhaven, WI 78158",No,10.0,3.0,5152.380000000001,3.0,1.0,3.0,313.0,2
77,Lauren Jackson,samanthaclay@example.net,28,851-623-1141x23913,"459 Roberts Pass Suite 617
Mccallbury, PW 33325",Yes,14.0,3.0,161.32,3.0,1.0,1.0,311.0,2
78,Dawn Wilson,jennifermccullough@example.com,35,892.748.0312x0198,"3132 Matthew Estate Apt. 964
Gonzalezburgh, MI 62867",Yes,6.0,4.0,1247.07,4.0,2.0,2.0,422.0,0
79,Ronnie Mcclain,martinezderek@example.net,35,+1-389-332-3692x57697,"98494 Tracey Ville Suite 477
Caldwellburgh, UT 07976",Yes,16.0,3.0,1131.22,2.0,1.0,2.0,212.0,2
80,Dr. Nicole Matthews,icervantes@example.org,24,7916443697,"14643 Katie Ville
Lake James, FM 22086",Yes,7.0,6.0,838.12,3.0,4.0,1.0,341.0,0
81,Katrina Gillespie,sandersjose@example.net,42,8629075839,"USS Howell
FPO AE 95506",No,4.0,6.0,3739.93,4.0,4.0,3.0,443.0,0
82,Christina Mora,vmorales@example.net,34,(719)521-1185x765,"830 Rogers Plains
South Stevenstad, AL 57524",Yes,19.0,3.0,3279.33,2.0,1.0,3.0,213.0,2
83,Kristopher Moore,dawnrice@example.com,31,+1-799-264-2609,"5945 Beverly Loaf
Whitefurt, MO 59524",No,13.0,5.0,887.3100000000001,3.0,3.0,1.0,331.0,0
84,Gina Irwin,vincentspencer@example.net,39,860-220-6116,"1643 Stephen Mews
Andrewstad, IN 60478",Yes,3.0,5.0,3126.02,4.0,3.0,3.0,433.0,0
85,Rebecca Fields,montgomeryaustin@example.org,45,590.339.3162x652,"2475 Margaret Burgs
Kathrynberg, TN 39402",Yes,19.0,3.0,380.33,2.0,1.0,1.0,211.0,2
86,Hayden Hayes,mcdonalddonna@example.com,32,837.302.3209,"05308 Teresa Curve
Nguyenburgh, PR 39636",No,6.0,4.0,1826.25,4.0,2.0,2.0,422.0,0
87,Virginia Ingram,margaretwilliams@example.com,44,793-639-3309x36869,"05678 William Trace Suite 989
North John, VI 72645",Yes,19.0,8.0,5849.530000000001,2.0,4.0,3.0,243.0,3
88,Jenna Mitchell,barry53@example.org,48,954-562-3743x4328,"8902 Michelle River
Lake Pamfurt, PA 91147",Yes,8.0,4.0,161.53,3.0,2.0,1.0,321.0,0
89,Jeffery Martinez,nicole85@example.net,41,(528)695-8109x34555,"246 Bennett Mountains
Angelicaview, PR 45430",Yes,6.0,3.0,3668.81,4.0,1.0,3.0,413.0,2
90,Susan Martin,daniel37@example.com,18,611.360.2230,"7746 Laura Mission
Port Joseph, RI 13960",Yes,9.0,4.0,2979.57,3.0,2.0,2.0,322.0,0
91,Linda Day,bmason@example.org,39,(389)920-2149x546,"212 Shannon Mission
Colestad, DE 78817",Yes,2.0,4.0,3264.98,4.0,2.0,3.0,423.0,0
92,Katelyn Ray,phillip46@example.net,37,+1-606-481-0709x644,"Unit 1496 Box 2390
DPO AP 33804",Yes,17.0,2.0,118.65,2.0,1.0,1.0,211.0,2
93,Mercedes Baker,qrichard@example.org,29,+1-298-375-0252,"668 Karen Terrace Suite 301
Masseyville, PW 81056",Yes,12.0,4.0,852.45,3.0,2.0,1.0,321.0,0
94,Tyler Gardner,brenda51@example.com,40,(529)203-2060x76429,"778 Brandon Garden
Dianeport, IN 20018",No,5.0,7.0,5811.96,4.0,4.0,3.0,443.0,0
95,William Hopkins,ramirezpaige@example.net,39,001-876-296-9252,"498 Kenneth Lakes
Saraport, IA 40633",No,,,,,,,,0
96,Michael Kelly,wcontreras@example.org,43,458.957.7874,"598 Price Corners Apt. 845
Dawnhaven, VT 26047",Yes,2.0,9.0,1360.91,4.0,4.0,2.0,442.0,0
97,Peter Nash,novakpeter@example.com,45,+1-412-839-1166,"528 Richardson Extensions Apt. 199
North Breannaburgh, WA 42622",No,8.0,4.0,524.99,3.0,2.0,1.0,321.0,0
98,Michael Garcia,thomasbutler@example.org,41,(884)478-2538,"622 Long Causeway Apt. 404
Robinborough, GA 05505",No,4.0,4.0,4991.55,4.0,2.0,3.0,423.0,0
99,Alexandria Gaines,archerlee@example.com,36,(923)662-4440,"75020 Walker Rue Suite 579
Powersburgh, UT 52463",Yes,3.0,3.0,4948.0,4.0,1.0,3.0,413.0,2
100,Richard Kelley,daniel34@example.net,33,721.222.7329x9525,"608 Kevin Forest
Perryton, MP 09944",Yes,12.0,2.0,302.16,3.0,1.0,1.0,311.0,2
101,Heather Mueller,jasonkennedy@example.net,33,423.803.5200x5473,"37829 Vicki Lakes Apt. 449
Francisbury, VI 80706",No,3.0,7.0,1633.89,4.0,4.0,2.0,442.0,0
102,Heather Ewing,fhester@example.org,38,6125757299,"09061 Bryant Mountains
New Timothyfort, RI 45625",Yes,11.0,3.0,467.02,3.0,1.0,1.0,311.0,2
103,Andrew Gregory,marcus63@example.com,32,+1-432-303-0930x74355,"Unit 9153 Box 4833
DPO AE 42015",No,5.0,1.0,51.02,4.0,1.0,1.0,411.0,2
104,Nicole Jimenez,adamsdenise@example.com,26,(594)715-6448,"PSC 5247, Box 7697
APO AA 11944",Yes,20.0,1.0,204.0,2.0,1.0,1.0,211.0,2
105,Stephanie Long,coltonferguson@example.net,20,742.702.9529x212,"355 Rachael Freeway
Raymondhaven, IN 29743",Yes,3.0,1.0,204.0,4.0,1.0,1.0,411.0,2
106,Nicholas Johnson,christianrobinson@example.net,32,+1-417-623-5329x8686,"0933 Jonathan Ways
Lake Sarahmouth, ND 17321",Yes,4.0,6.0,4606.83,4.0,4.0,3.0,443.0,0
107,Victoria Hawkins,ralphlynch@example.com,35,856.926.2518x889,"581 Hudson Isle Apt. 912
Woodsside, LA 01597",Yes,3.0,4.0,1200.69,4.0,2.0,2.0,422.0,0
108,Stephanie Morris,xlee@example.com,32,+1-729-488-0767,"USCGC Summers
FPO AA 53637",Yes,7.0,4.0,2729.33,3.0,2.0,2.0,322.0,0
109,Amy Jackson,michael45@example.com,41,(743)714-4738,"60466 Sanchez Lakes
Sierraview, LA 15955",No,1.0,8.0,2977.09,4.0,4.0,2.0,442.0,0
110,Michael Gallegos,pennyaguirre@example.net,31,480.329.8633x3050,"USNS Hamilton
FPO AE 31995",Yes,5.0,3.0,414.38,4.0,1.0,1.0,411.0,2
111,Brianna Davis,davidsingh@example.com,35,268-785-4003x81612,"79733 Shannon Ports Suite 145
Mikefurt, OH 50081",Yes,5.0,3.0,1811.03,4.0,1.0,2.0,412.0,2
112,Miranda Knight,stacy35@example.org,41,+1-505-329-8892x541,"84587 Davis Road Apt. 761
Garrettmouth, TN 42060",Yes,3.0,6.0,9141.3,4.0,4.0,4.0,444.0,1
113,Caitlin Lawson,bishopian@example.com,53,(644)940-3719,"USCGC Ramirez
FPO AE 72468",No,3.0,4.0,2585.84,4.0,2.0,2.0,422.0,0
114,Karen Patterson,alicia13@example.net,39,9436461127,"6179 Velasquez Land
South Angelicaborough, NE 11391",Yes,1.0,4.0,4084.35,4.0,2.0,3.0,423.0,0
115,Joseph Perez,michellehenderson@example.com,49,415-662-4489x93542,"222 Griffin Roads
Larsonfurt, MP 56561",Yes,6.0,5.0,3178.21,4.0,3.0,3.0,433.0,0
116,Catherine Gilbert,vanessa42@example.org,39,738.492.9770,"7548 Charles Rapid Apt. 109
Sellersberg, WI 66346",Yes,1.0,7.0,5082.3,4.0,4.0,3.0,443.0,0
117,James Bond,codycervantes@example.com,23,+1-433-453-7390,"26897 Joseph Heights
Jonesborough, NY 62973",Yes,11.0,3.0,3033.28,3.0,1.0,3.0,313.0,2
118,Sara George,courtneyhamilton@example.org,41,+1-742-821-5365x876,"19852 Cox Wells Apt. 157
Port Lanceshire, NM 76027",Yes,3.0,6.0,1340.2,4.0,4.0,2.0,442.0,0
119,Carly Butler,ryan76@example.org,30,4914002104,"010 Kelly Overpass Suite 767
Sarahside, VI 62017",No,2.0,8.0,7884.22,4.0,4.0,4.0,444.0,3
120,Steve Kelly,briangibson@example.net,23,+1-765-430-0487x900,"4004 Samuel Road Apt. 844
West Karichester, RI 87485",No,2.0,4.0,1220.4299999999998,4.0,2.0,2.0,422.0,0
121,Monica Miranda,kramervictor@example.com,31,001-321-416-4577x90581,"6617 James Crest
Lawrencebury, ME 23975",Yes,1.0,4.0,854.5799999999999,4.0,2.0,1.0,421.0,0
122,John Gray,jason18@example.org,19,(705)673-6117x7780,"748 Sierra Garden Apt. 889
Mortonborough, MA 87355",Yes,10.0,8.0,2447.36,3.0,4.0,2.0,342.0,0
123,Anthony Haynes,melissavargas@example.net,38,(368)590-7248x04441,"0692 Donna Hills Apt. 754
Laurafurt, PW 00502",No,25.0,1.0,324.15,2.0,1.0,1.0,211.0,2
124,Justin Nguyen,vcherry@example.net,23,001-771-316-6620x44169,"91933 Porter Mission Apt. 626
Port Brianville, MT 79368",Yes,3.0,3.0,4826.01,4.0,1.0,3.0,413.0,2
125,Stephen Blankenship,ahunt@example.org,53,(931)913-9185,"6054 Obrien Haven
Byrdfort, PW 01585",No,17.0,6.0,4290.35,2.0,4.0,3.0,243.0,0
126,Mary Hernandez,robertgross@example.com,48,+1-501-338-6151x638,"4727 Linda Parkways Suite 363
Mooreland, FL 95874",Yes,13.0,4.0,601.73,3.0,2.0,1.0,321.0,0
127,John Juarez,robert74@example.com,18,001-936-622-2263x77497,"PSC 4975, Box 7017
APO AP 32715",No,3.0,3.0,3155.8,4.0,1.0,3.0,413.0,2
128,Michael Casey,rmeyer@example.com,49,268-921-7948,"6349 Catherine Radial Apt. 629
Olsenhaven, AK 46582",Yes,4.0,4.0,3895.32,4.0,2.0,3.0,423.0,0
129,William Sherman,emilychase@example.net,24,531.997.1064,"525 Ayers Landing Apt. 058
Olsonborough, LA 70305",Yes,1.0,4.0,515.8199999999999,4.0,2.0,1.0,421.0,0
130,Ryan Rodriguez,marquezjonathan@example.net,43,939-934-3894x61491,"023 Lisa Crest Suite 627
Fisherfurt, MT 39716",No,3.0,3.0,286.39,4.0,1.0,1.0,411.0,2
131,Rachel Ramsey,peggylawrence@example.org,29,3633507090,"USNS Jimenez
FPO AE 14550",Yes,2.0,3.0,262.63,4.0,1.0,1.0,411.0,2
132,Edward Larson,juanpineda@example.org,19,001-295-789-8774x60329,"257 Jack Prairie Suite 069
Tammybury, VT 38073",Yes,2.0,4.0,2645.08,4.0,2.0,2.0,422.0,0
133,Kathryn Brown,kellydebbie@example.net,52,714-703-2555x431,"5446 John Overpass
Rodgersville, UT 95062",No,5.0,4.0,3381.63,4.0,2.0,3.0,423.0,0
134,Curtis Cox,andreneal@example.org,37,(340)268-7150x55822,"7078 Cox Canyon Apt. 146
Garciabury, NH 82240",Yes,2.0,5.0,2834.8700000000003,4.0,3.0,2.0,432.0,0
135,Jason Sexton,archerstephen@example.org,23,001-523-771-6421x27003,"861 Michael Radial
Cindymouth, LA 22550",No,6.0,4.0,768.3299999999999,4.0,2.0,1.0,421.0,0
136,Austin Turner,joshuamartinez@example.com,28,001-820-311-9977,"8542 Robert Expressway Suite 207
Sullivanstad, SC 98938",Yes,2.0,6.0,1089.41,4.0,4.0,2.0,442.0,0
137,Wanda Mcfarland,palmergabriel@example.org,27,252-750-0427,"1845 Donna Row
North Bryanmouth, MP 81308",No,4.0,5.0,1496.1699999999998,4.0,3.0,2.0,432.0,0
138,Michael Ortiz,michael04@example.net,31,(900)640-9037x681,"0432 Anthony Island Suite 831
West Charles, KY 91473",Yes,7.0,4.0,4665.65,3.0,2.0,3.0,323.0,0
139,Eric Smith,williselizabeth@example.com,21,001-237-782-2739x3832,"02684 Skinner Walk Suite 525
East Leonardland, KY 73818",Yes,6.0,2.0,1876.94,4.0,1.0,2.0,412.0,2
140,Cynthia Wilcox,sgarcia@example.net,39,718.381.5630,"6911 Lowery Radial
Beckbury, FM 35766",Yes,3.0,6.0,6126.71,4.0,4.0,3.0,443.0,0
141,Scott Dyer,jennifer32@example.net,49,(753)709-8640x782,"728 Katherine Crossroad Suite 366
East Sherishire, GU 35538",Yes,2.0,5.0,3006.1000000000004,4.0,3.0,2.0,432.0,0
142,Derek King MD,julie35@example.org,24,001-706-577-8683x4647,"15689 Jose Plaza Suite 283
Johnchester, NV 52823",No,12.0,4.0,310.56,3.0,2.0,1.0,321.0,0
143,Hailey Gray,dawsonmatthew@example.com,27,001-580-764-2598x63181,"87600 Hannah Green Suite 000
Smithmouth, VT 40027",Yes,3.0,4.0,2484.73,4.0,2.0,2.0,422.0,0
144,April Mcdonald,lisabarber@example.com,39,(763)375-2051x8662,"569 Martin Forest
South Benjamintown, CT 51939",No,2.0,7.0,3189.8,4.0,4.0,3.0,443.0,0
145,Mr. Gregory Perez,hardingmichael@example.org,23,6849666803,"USS Marshall
FPO AA 01744",Yes,8.0,6.0,2661.04,3.0,4.0,2.0,342.0,0
146,Wesley Nunez,pprice@example.net,40,+1-521-797-1985x561,"94535 Chloe Walk
West Sarahville, MH 79464",No,9.0,4.0,354.38,3.0,2.0,1.0,321.0,0
147,Joseph White,paulwood@example.net,27,+1-839-567-2480x2881,"46367 Tina Lights Apt. 840
South Darryl, WA 87816",No,3.0,2.0,4645.7,4.0,1.0,3.0,413.0,2
148,George Smith,julie70@example.org,41,562-350-1267,"800 Patrick Port Apt. 705
West Eric, MD 75437",No,1.0,4.0,3561.78,4.0,2.0,3.0,423.0,0
149,Thomas Nunez,frankmelissa@example.org,28,(604)270-3497,"4935 Hannah Mission Suite 902
Port Jeffreyview, NE 10225",No,1.0,4.0,4216.59,4.0,2.0,3.0,423.0,0
150,Sarah Booth,eramirez@example.net,25,+1-800-888-9127x14314,"3716 Maria Squares Suite 038
Kimberlyfurt, FM 86202",No,5.0,7.0,2171.69,4.0,4.0,2.0,442.0,0
